80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,30.200186,30.200186,30.200186,30.200186,30.200186,30.200186,30.200186,30.200186,30.200186,30.200186,30.200186,30.200186,30.200186,30.200186,30.200186,30.200186,30.200186,30.200186,30.200186,30.200186,30.200186,30.200186,30.200186,30.200186
76,14.432038,14.432038,14.432038,14.432038,14.432038,14.432038,14.432038,14.432038,14.432038,14.432038,14.432038,14.432038,14.432038,14.432038,14.432038,14.432038,14.432038,14.432038,14.432038,14.432038,14.432038,14.432038,14.432038,14.432038
74,57.074692,57.074692,57.074692,57.074692,57.074692,57.074692,57.074692,57.074692,57.074692,96.923615,57.074692,57.074692,57.074692,57.074692,57.074692,57.074692,57.074692,57.074692,57.074692,57.074692,57.074692,57.074692,57.074692,57.074692
72,47.048588,79.887856,43.631569,79.887856,79.887856,79.887856,79.887856,115.905922,115.905922,115.905922,79.887856,79.887856,79.887856,79.887856,79.887856,79.887856,79.887856,79.887856,79.887856,79.887856,79.887856,79.887856,79.887856,79.887856
70,34.003658,34.003658,34.003658,34.003658,34.003658,34.003658,34.003658,34.003658,34.003658,34.003658,34.003658,34.003658,34.003658,34.003658,34.003658,34.003658,34.003658,34.003658,34.003658,34.003658,34.003658,34.003658,34.003658,34.003658
68,39.493916,39.493916,39.493916,39.493916,39.493916,39.493916,39.493916,39.493916,39.493916,39.493916,39.493916,39.493916,39.493916,39.493916,39.493916,39.493916,39.493916,39.493916,39.493916,39.493916,39.493916,39.493916,39.493916,39.493916
66,9.930069,9.930069,9.930069,9.930069,9.930069,9.930069,9.930069,9.930069,9.930069,9.930069,9.930069,9.930069,9.930069,9.930069,9.930069,9.930069,9.930069,9.930069,9.930069,9.930069,9.930069,9.930069,9.930069,9.930069
65,14.440982,14.440982,14.440982,14.440982,14.440982,14.440982,14.440982,14.440982,14.440982,14.440982,14.440982,14.440982,14.440982,14.440982,14.440982,14.440982,14.440982,14.440982,14.440982,14.440982,14.440982,14.440982,14.440982,14.440982
40,37.398457,37.398457,37.398457,37.398457,37.398457,37.398457,37.398457,37.398457,37.398457,37.398457,37.398457,37.398457,37.398457,37.398457,37.398457,37.398457,37.398457,37.398457,37.398457,37.398457,37.398457,37.398457,37.398457,37.398457
35,19.555540,19.555540,19.555540,19.555540,19.555540,19.555540,19.555540,19.555540,19.555540,19.555540,19.555540,19.555540,19.555540,19.555540,19.555540,19.555540,19.555540,19.555540,19.555540,19.555540,19.555540,19.555540,19.555540,19.555540
3,109.653381,109.653381,109.653381,144.133682,144.133682,144.133682,144.133682,174.213058,174.213058,174.213058,174.213058,144.133682,144.133682,144.133682,144.133682,144.133682,144.133682,144.133682,144.133682,144.133682,144.133682,144.133682,144.133682,114.096054
