Time,34,Rajendra_nagar2,Rajendra_nagar1,Bademakan,Kesare,Rajiv_nagar_II,Veeranageeri,NR_mohalla2,NR_mohalla1,Rajiv_nagar_I,Tippu_park,80,78,76,74,72,70,68,66,65,40,35,3,
18,53.846027,42.068775,39.501282,36.597462,39.623093,36.208023,50.890842,46.486095,46.404190,45.669655,43.519547,0.000000,24.694788,5.529697,8.192558,11.811171,52.622051,24.695831,7.978575,5.590563,9.731173,4.069064,16.245005,
19,67.664864,46.991077,39.501385,42.820847,42.112999,25.563602,51.935909,15.872366,24.797695,24.095434,31.190023,0.000000,4.833336,99.197227,99.998650,74.897865,7.824675,5.167779,7.978575,5.590563,99.994659,50.908672,16.245005,
20,18.092838,28.449314,25.007401,32.566589,35.038277,47.558235,21.590137,50.220165,33.921013,27.172438,39.736553,0.000000,23.224779,5.529697,99.998650,74.897865,34.915108,5.167779,7.978575,5.590563,9.731173,4.069064,16.245005,
21,31.949389,31.656713,15.540149,27.568966,27.660053,40.429253,29.038063,29.576740,28.770067,45.806458,28.966362,0.000000,23.224779,5.529697,99.998650,11.811171,7.824675,60.116398,7.978575,5.590563,9.731173,4.069064,16.245005,
22,37.051682,31.205687,43.092606,27.830835,27.638533,36.138794,32.210480,20.490719,27.729097,36.576874,27.186373,0.000000,23.224779,5.529697,99.998650,30.716841,31.939125,5.167779,7.978575,5.590563,31.344694,4.069064,16.245005,
23,45.153618,38.030571,44.641006,36.556782,35.586285,40.185913,39.144718,24.291443,33.995293,38.134373,32.987476,0.000000,23.224779,5.529697,99.998650,30.716841,31.939125,15.719517,7.978575,5.590563,31.344694,16.141256,16.245005,
24,49.629498,46.674404,50.001804,47.965710,46.881027,47.698467,45.658596,34.093105,43.147579,44.930042,40.713734,0.000000,4.833336,5.529697,99.998650,30.716841,7.824675,15.719517,7.978575,5.590563,31.344694,16.141256,16.245005,
