Time,34,Rajendra_nagar2,Rajendra_nagar1,Bademakan,Kesare,Rajiv_nagar_II,Veeranageeri,NR_mohalla2,NR_mohalla1,Rajiv_nagar_I,Tippu_park,
0,0.386064,0.478502,0.331551,0.826890,0.852281,0.463386,1.113344,2.144190,0.589053,0.347632,0.585494,
1,10.361005,11.459673,10.514390,12.130528,10.450964,12.166822,4.492870,7.262937,3.852166,10.694365,5.471585,
