Time,34,Rajendra_nagar2,Rajendra_nagar1,Bademakan,Kesare,Rajiv_nagar_II,Veeranageeri,NR_mohalla2,NR_mohalla1,Rajiv_nagar_I,Tippu_park,
18,53.846027,42.068775,39.501282,36.597462,39.623093,36.208023,50.890842,46.486095,46.404190,45.669655,43.519547,
19,38.986095,31.044834,33.848995,35.461643,47.081959,61.909683,37.850586,25.963703,34.146980,31.988491,32.538666,
20,37.364460,30.202396,33.183613,35.114159,33.351543,51.216221,25.836124,17.562893,22.254675,26.647461,21.027126,
21,32.135101,41.217922,32.891628,32.623459,29.099688,44.087219,26.827091,16.540312,23.304844,30.486269,19.144838,
22,37.803257,39.967972,38.932144,35.881371,34.758732,41.090313,18.259928,3.399600,26.531315,37.531494,22.408785,
23,43.792469,35.348392,42.026497,32.696453,29.239601,40.775166,50.313538,43.118633,34.375607,37.381172,35.818897,
24,51.489452,43.589981,48.827366,54.509834,51.162231,47.810677,46.407581,40.036747,41.954250,41.465099,42.581150,
