Time,34,Rajendra_nagar2,Rajendra_nagar1,Bademakan,Kesare,Rajiv_nagar_II,Veeranageeri,NR_mohalla2,NR_mohalla1,Rajiv_nagar_I,Tippu_park,80,78,76,74,72,70,68,66,65,40,35,3,
18,53.846027,42.068775,39.501282,36.597462,39.623093,36.208023,50.890842,46.486095,46.404190,45.669655,43.519547,0.000000,20.357122,2.895491,22.965521,50.054363,47.685143,13.997476,8.769305,6.769189,33.207397,3.881560,22.040316,
19,48.432129,44.789719,33.222481,37.077621,24.069168,29.103271,46.397144,31.496225,35.425037,38.034260,37.888157,0.000000,3.612169,2.895491,22.965521,50.054363,47.685143,13.997476,8.769305,6.769189,33.207397,3.881560,22.040316,
20,56.789307,39.291813,34.163036,26.384218,8.515245,18.409807,28.767242,13.227032,27.495914,28.993372,31.683346,0.000000,21.587553,2.895491,22.965521,50.054363,47.685143,13.997476,8.769305,66.072586,33.207397,32.963795,22.040316,
21,28.347746,39.437897,32.684196,39.171307,34.743839,32.446632,34.258350,13.157979,25.729883,27.853615,29.112381,0.000000,3.612169,2.895491,22.965521,50.054363,7.564822,13.997476,8.769305,6.769189,33.207397,3.881560,22.040316,
22,50.153950,31.607576,33.966438,33.468124,26.448425,26.743490,37.762497,17.599239,34.168716,32.657726,31.750954,0.000000,3.612169,2.895491,22.965521,50.054363,7.564822,13.997476,8.769305,73.981140,33.207397,43.815689,22.040316,
23,26.508461,34.524643,37.594902,48.707577,56.125481,50.599827,36.930584,13.644735,37.837990,37.763981,39.246552,0.000000,3.612169,2.895491,22.965521,50.054363,34.203060,13.997476,8.769305,6.769189,7.372136,3.881560,22.040316,
24,44.286037,44.831249,46.595509,45.855953,51.977791,47.748257,41.736580,47.838371,45.097523,47.360973,44.340946,0.000000,3.612169,2.895491,5.538266,11.248759,7.564822,4.754849,8.769305,6.769189,7.372136,3.881560,5.113666,
