Time,34,Rajendra_nagar2,Rajendra_nagar1,Bademakan,Kesare,Rajiv_nagar_II,Veeranageeri,NR_mohalla2,NR_mohalla1,Rajiv_nagar_I,Tippu_park,80,78,76,74,72,70,68,66,65,40,35,3,
18,53.846027,42.068775,39.501282,36.597462,39.623093,36.208023,50.890842,46.486095,46.404190,45.669655,43.519547,0.000000,16.090237,2.851203,30.921818,44.522076,28.368042,4.675895,9.959380,8.631529,33.287979,18.781586,24.960365,
19,37.868889,36.176270,32.688213,36.247543,41.118382,37.574085,40.986580,41.795502,42.378525,35.648796,37.924133,0.000000,16.090237,2.851203,30.921818,44.522076,28.368042,4.675895,9.959380,8.631529,33.287979,3.760670,24.960365,
20,39.209206,31.357815,22.527786,34.606548,34.804718,35.383347,33.438061,26.195787,29.284519,29.606970,31.789705,0.000000,3.824802,2.851203,30.921818,44.522076,28.368042,48.612663,9.959380,8.631529,33.287979,3.760670,24.960365,
21,24.877943,35.213852,41.396122,27.477587,24.615314,30.377581,30.847034,22.635599,29.515919,28.855299,30.955439,0.000000,16.481468,2.851203,30.921818,44.522076,10.215563,4.675895,9.959380,8.631529,33.287979,15.880441,24.960365,
22,43.821442,34.122417,37.805382,28.282942,17.246712,34.871090,35.595737,23.954082,29.912359,31.852196,33.922668,0.000000,3.824802,2.851203,30.921818,44.522076,10.215563,14.831669,99.979027,67.944511,7.445532,3.760670,24.960365,
23,31.540886,37.780922,40.712566,44.565945,48.752209,38.589558,34.859322,36.458557,36.445461,41.448013,35.305702,0.000000,17.839493,2.851203,30.921818,44.522076,10.215563,14.831669,9.959380,8.631529,33.598133,18.953865,24.960365,
24,44.826298,44.825577,46.918930,46.162197,45.757507,47.908066,42.217247,48.232521,45.521275,47.728062,44.836739,0.000000,3.824802,2.851203,5.781235,11.143255,88.419044,4.675895,9.959380,97.364067,7.445532,3.760670,5.288096,
