Time,34,Rajendra_nagar2,Rajendra_nagar1,Bademakan,Kesare,Rajiv_nagar_II,Veeranageeri,NR_mohalla2,NR_mohalla1,Rajiv_nagar_I,Tippu_park,80,78,76,74,72,70,68,66,65,40,35,3,
18,53.846027,42.068775,39.501282,36.597462,39.623093,36.208023,50.890842,46.486095,46.404190,45.669655,43.519547,0.000000,20.075914,3.193738,27.048542,38.765099,46.721081,15.373677,93.507042,6.316720,9.233529,3.849775,20.027916,
19,39.894794,44.359848,34.030178,54.656776,36.832912,33.552628,44.141911,20.807753,38.993431,33.166382,33.419994,0.000000,4.613546,3.193738,27.048542,38.765099,46.721081,15.373677,8.467194,6.316720,9.233529,3.849775,20.027916,
20,35.701664,36.921600,34.525188,43.963367,32.606804,28.393118,32.624546,14.106541,32.921028,24.537050,22.633738,0.000000,4.613546,3.193738,27.048542,38.765099,7.617228,15.373677,8.467194,6.316720,91.893044,3.849775,20.027916,
21,31.679409,32.248844,36.181610,36.834499,24.816689,25.540562,29.391703,16.647448,27.886524,29.629473,37.626732,0.000000,19.368570,3.193738,27.048542,38.765099,25.282871,15.373677,8.467194,6.316720,9.233529,3.849775,20.027916,
22,35.575436,33.633488,43.324505,32.949715,21.193392,22.242180,36.254841,18.609201,32.822876,34.480869,36.919098,0.000000,19.368570,3.193738,27.048542,38.765099,25.282871,15.373677,8.467194,6.316720,9.233529,3.849775,20.027916,
23,54.859402,44.619957,46.466400,29.778128,14.971842,17.964823,47.564518,28.909618,33.945587,43.120556,37.223431,0.000000,4.613546,3.193738,27.048542,38.765099,7.617228,5.530077,60.516823,75.247421,28.926754,51.305851,20.027916,
24,44.772125,45.147533,46.801453,46.145618,46.202393,48.056301,41.979702,48.139412,45.467602,47.664242,44.671509,0.000000,4.613546,3.193738,5.923635,11.304554,7.617228,30.323709,8.467194,6.316720,9.233529,3.849775,20.027916,
